node_id,old_index
1892,435
1893,856
1894,2718
1895,135
1896,318
1897,490
1898,965
1899,4300
1900,1752
1901,169
1902,210
1903,3845
1904,54
1905,1181
1906,22
1907,4142
1908,4135
1909,2869
1910,4167
1911,1761
1912,1877
1913,3875
1914,3165
1915,3550
1916,4995
1917,2328
1918,2456
1919,3285
1920,3735
1921,1712
1922,2952
1923,914
1924,224
1925,2759
1926,1779
1927,1072
1928,995
1929,1795
1930,1250
1931,893
1932,342
1933,767
1934,1645
1935,2380
1936,2792
1937,398
1938,1001
1939,619
1940,1739
1941,368
1942,431
1943,394
1944,352
1945,93
1946,1287
1947,1514
1948,1638
1949,113
1950,937
1951,1524
1952,149
1953,1020
1954,1386
1955,578
1956,917
1957,1280
1958,3258
1959,1346
1960,205
1961,3221
1962,2004
1963,535
1964,454
1965,634
1966,458
1967,4200
1968,5072
1969,968
1970,816
1971,407
1972,2299
1973,2306
1974,1716
1975,570
1976,4553
1977,5407
1978,2231
1979,126
1980,1911
1981,879
1982,1055
1983,218
1984,678
1985,2881
1986,380
1987,3804
1988,2334
1989,1859
1990,2404
1991,1508
1992,2635
1993,1895
1994,2243
1995,5448
1996,680
1997,2392
1998,177
1999,415
2000,2731
2001,5546
2002,1016
2003,3953
2004,1173
2005,602
2006,3105
2007,4857
2008,5342
2009,3156
2010,4946
2011,4191
2012,2497
2013,4794
2014,1762
2015,1738
2016,5451
2017,5402
2018,4755
2019,3298
2020,4975
2021,1326
2022,2413
2023,4190
2024,4210
2025,4202
2026,3511
2027,1922
2028,1329
2029,4216
2030,4170
2031,3415
2032,3535
2033,3622
2034,43
2035,2314
2036,1668
2037,2024
2038,673
2039,3808
2040,2470
2041,5392
2042,1763
2043,1987
2044,2596
2045,1185
2046,5095
2047,3517
2048,4033
2049,1150
2050,696
2051,4213
2052,2254
2053,5495
2054,5248
2055,3568
2056,3514
2057,2543
2058,364
2059,5337
2060,128
2061,13
2062,4188
2063,433
2064,3161
2065,530
2066,2819
2067,2278
2068,280
2069,4201
2070,1362
2071,635
2072,46
