src,dst,rel,label,edge_semantic,edge_reason
253,1594,drug_disease,1,positive,direct:therapeutic
141,1663,drug_disease,1,positive,direct:therapeutic
143,1541,drug_disease,1,positive,direct:therapeutic
143,1645,drug_disease,1,positive,direct:therapeutic
143,1664,drug_disease,1,positive,direct:therapeutic
143,1665,drug_disease,1,positive,direct:therapeutic
143,1546,drug_disease,1,positive,direct:therapeutic
143,1533,drug_disease,1,positive,direct:therapeutic
143,1666,drug_disease,1,positive,direct:therapeutic
143,1612,drug_disease,1,positive,direct:therapeutic
254,1667,drug_disease,1,positive,direct:therapeutic
146,1668,drug_disease,1,positive,direct:therapeutic
146,1660,drug_disease,1,positive,direct:therapeutic
255,1548,drug_disease,1,positive,direct:therapeutic
255,1526,drug_disease,1,positive,direct:therapeutic
256,1669,drug_disease,1,positive,direct:therapeutic
257,38,drug_disease,1,positive,direct:therapeutic
159,573,drug_disease,1,positive,direct:therapeutic
258,1581,drug_disease,1,positive,direct:therapeutic
259,1670,drug_disease,1,positive,direct:therapeutic
260,1558,drug_disease,1,positive,direct:therapeutic
260,1559,drug_disease,1,positive,direct:therapeutic
261,1671,drug_disease,1,positive,direct:therapeutic
166,1672,drug_disease,1,positive,direct:therapeutic
262,1673,drug_disease,1,positive,direct:therapeutic
263,1659,drug_disease,1,positive,direct:therapeutic
264,1674,drug_disease,1,positive,direct:therapeutic
264,1517,drug_disease,1,positive,direct:therapeutic
265,1675,drug_disease,1,positive,direct:therapeutic
266,1611,drug_disease,1,positive,direct:therapeutic
266,1676,drug_disease,1,positive,direct:therapeutic
266,1677,drug_disease,1,positive,direct:therapeutic
175,1611,drug_disease,1,positive,direct:therapeutic
267,1529,drug_disease,1,positive,direct:therapeutic
267,1678,drug_disease,1,positive,direct:therapeutic
268,1679,drug_disease,1,positive,direct:therapeutic
269,1680,drug_disease,1,positive,direct:therapeutic
269,1681,drug_disease,1,positive,direct:therapeutic
269,1682,drug_disease,1,positive,direct:therapeutic
269,1683,drug_disease,1,positive,direct:therapeutic
270,1684,drug_disease,1,positive,direct:therapeutic
270,1685,drug_disease,1,positive,direct:therapeutic
271,1686,drug_disease,1,positive,direct:therapeutic
271,1687,drug_disease,1,positive,direct:therapeutic
272,1688,drug_disease,1,positive,direct:therapeutic
273,1533,drug_disease,1,positive,direct:therapeutic
184,1689,drug_disease,1,positive,direct:therapeutic
184,1603,drug_disease,1,positive,direct:therapeutic
184,1545,drug_disease,1,positive,direct:therapeutic
185,1533,drug_disease,1,positive,direct:therapeutic
185,1545,drug_disease,1,positive,direct:therapeutic
185,1690,drug_disease,1,positive,direct:therapeutic
274,1562,drug_disease,1,positive,direct:therapeutic
275,1691,drug_disease,1,positive,direct:therapeutic
190,1692,drug_disease,1,positive,direct:therapeutic
